"codice_tipologia","provincia","regione","soggetto","formato","prodotto","produttore"
"L7","MI","Lombardia","Altro: amministrazione","NSF IBM Domino","Curriculum Vitae","IBM Italia Spa"
"L7","AO","Valle D'Aosta","Soccorso e/o protezione civile","Oracle","CUS","Insiel mercato"
"L7","OG","Sardegna","Salute","Mysql","DAE","SardegnaIT"
"L8","BO","Emilia Romagna","Salute","Oracle","Data Warehouse","Oslo"
"L8","BO","Emilia Romagna","Salute","Oracle","Data Warehouse","Oslo"
"L34","UD","Friuli Venezia Giulia","Trasparenza","DBMS My Sql","DB Albo Pretorio","DB informatica srl"
"L34","UD","Friuli Venezia Giulia","Trasparenza","DBMS MS SQL","DB Albo Pretorio","DB Informatic@ srl"
"L34","UD","Friuli Venezia Giulia","Trasparenza","DBMS MS SQL","DB Albo Pretorio","DB Informatic@ srl"
"L34","UD","Friuli Venezia Giulia","Altro: Determine","DBMS MS SQL","DB Det.net","DB informatica srl"
"L34","UD","Friuli Venezia Giulia","Altro: determinazioni dei responsabili di servizio","DBMS MS SQL","DB Det.net","DB Informatic@ srl"
"L34","UD","Friuli Venezia Giulia","Trasparenza","DBMS MS SQL","DB Det.net","DB Informatic@ srl"
"L34","UD","Friuli Venezia Giulia","Altro: delibere","DBMS MS Acess","DB Gestione Delibere","DB informatica srl"
"L34","UD","Friuli Venezia Giulia","Altro: delibere","DBMS MS Access","DB Gestione delibere","DB Informatic@ srl"
"L34","UD","Friuli Venezia Giulia","Trasparenza","DBMS MS Access","DB Gestione delibere","DB Informatic@ srl"
"L8","BA","Puglia","Salute","SQL server 2008 r2 express","DBLURTO","Cooperativa ""La Traccia"""
"L34","UD","Friuli Venezia Giulia","Trasparenza","DBMS My Sql","DB Trasparenza","DB informatica srl"
"L34","UD","Friuli Venezia Giulia","Trasparenza","DBMS MS SQL","DB Trasparenza","DB Informatic@ srl"
"L8","BS","Lombardia","Salute","Dbms mssql","Decreti","Edok"
"L7","BS","Lombardia","Salute","Dbms oracle","Decreti","Siav s.p.a."
"L7","BS","Lombardia","Salute","Dbms oracle","Decreti","Siav s.p.a."
"L7","PI","Toscana","Comunicazioni","Dbms mysql","Deliberazioni","Estav Nord Ovest"
"L7","PI","Toscana","Comunicazioni","Dbms mysql","Deliberazioni","Estav Nord Ovest"
"L7","LU","Toscana","Comunicazioni","Dbms oracle","DELIBERE","Caribel"
